artist,song,link,text
Ella Fitzgerald,Don't Be That Way,/e/ella+fitzgerald/dont+be+that+way_20045714.html,"April skies are in your eyes  
But, darling, don't be blue  
  
Don't cry  
Oh, honey, please  
Don't be that way  
  
Clouds in the sky  
Should never make you feel that way  
  
The rain  
Will bring the violets of May  
Tears are in vain so, honey, please, don't be that way  
  
As long as we  
See it through  
You'll have me  
I'll have you  
  
Sweetheart  
Tomorrow is another day  
Don't break my heart  
Oh, honey, please, don't be that way  
  
Don't cry  
Oh, honey, please  
Don't be that way  
  
Clouds in the skies  
Should never make you feel that way  
  
The rain  
Will bring the violets of May  
Tears in vain  
So, honey, please, don't be that way  
  
As long as we  
Will see it through  
You'll have me  
And I'll have you  
  
Sweetheart  
Tomorrow is another day  
Don't break my heart  
Oh, honey, please don't be that way  
  
Don't cry  
Don't cry, don't cry  
Oh, honey, please, don't be that way  
Oh, honey, please, don't be that way  
Clouds in the sky  
Dig those crazy sky  
Should never make you feel that way  
So don't be that way  
Dig the rain  
Pitter, pitter, pitter, pitter-patter  
Bring the violets of may  
Pitter-patter of rain drops  
Tears in vain  
Tears, tears  
So, honey, please don't be that way  
Don't be that way  
  
As long as we  
Will see it through  
Oh, baby, you'll have me  
And I'll have you  
Sweetheart  
  
Tomorrow is another day  
Tomorrow is another day  
Don't break my heart  
  
Oh, honey, please, don't be that way  
Looky here, baby, don't cry  
Oh, honey, please, don't be that way  
Clouds in the sky  
  
Should never make you feel that way  
Yeah, don't cry  
Honey, please, don't be that way  
  
Clouds in the sky  
Oh, honey, please, don't be that way  
No, I'll never be that way

"
Ella Fitzgerald,Don't Fence Me In,/e/ella+fitzgerald/dont+fence+me+in_20045715.html,"Wildcat kelley, lookin' mighty pale,  
Was standin' by the sherrif's side  
And when the sherrif said ""i'm sendin you to jail,  
Wildcat raised his head and cried  
  
Oh, give me land, lots of land under starry skies above,  
Don't fence me in.  
Let me ride through the wide open country that i love,  
Don't fence me in.  
Let me be by myself in the evenin' breeze,  
Listen to the murmur of the cottonwood trees,  
Send me off forever but i ask you please,  
Don't fence me in.  
  
Just turn me loose, let me straddle my old saddle  
Underneath the western skies.  
On my cayuse, let me wander over yonder  
Till i see the mountains rise.  
  
I want to ride to the ridge where the west commences  
Gaze at the moon till i lose my senses  
I can't look at hobbles and i can't stand fences  
Don't fence me in.  
  
Wildcat kelley, back again in town,  
Was standin by his sweethearts side,  
And when his sweetheart said ""come on let's settle down,  
Wildcat raised his head and cried  
  
Oh, give me land, lots of land under starry skies,  
Don't fence me in.  
Let me ride through the wide open country that i love,  
Don't fence me in.  
Let me be by myself in the evenin' breeze  
Listen to the murmur of the cottonwood trees  
Send me off forever but i ask you please,  
Don't fence me in  
  
Just turn me loose, let me straddle my old saddle  
Underneath the western skies  
On my cayuse, let me wander over yonder  
Till i see the mountains rise.  
  
I want to ride to the ridge where the west commences  
Gaze at the moon till i lose my senses  
I can't look at hobbles and i can't stand fences  
Don't..... fence me in.

"
Ella Fitzgerald,Don't Get Around Much Any More,/e/ella+fitzgerald/dont+get+around+much+any+more_20045716.html,"Missed the Saturday dance  
Heard they crowded the floor  
Couldn't bear it without you  
Don't get around much anymore  
  
Thought I'd visit the club  
Got as far as the door  
Couldn't bear it without you  
Don't get around much anymore  
  
Darlin', I guess my mind's more at ease  
But, nevertheless, why bring back old memories?  
  
Been invited to dates  
Might have gone, but what for?  
Couldn't bear it without you  
Don't get it around much anymore  
  
Missed the Saturday dance  
Heard they crowded the floor  
Couldn't bear it without you  
Don't get around much anymore  
  
Been invited to clubs  
Could've gone, but what for?  
Awfully lonesome without you  
Don't get around much anymore  
  
Yes, darlin', I guess my mind's more at ease  
But, nevertheless, why bring back old memories?  
  
Been invited to dates  
Might have gone, but what for?  
Awfully lonesome without you  
Don't get around much anymore

"
Ella Fitzgerald,Dream,/e/ella+fitzgerald/dream_20045717.html,"Get in touch with that sundown fellow  
As he tiptoes across the sand  
He's got a million kinds of stardust  
Pick your favorite brand, and  
  
Dream, when you're feeling blue  
Dream, that's the thing to do  
Just watch the smoke rings rise in the air  
You'll find your share of memories there  
  
So dream when the day is through  
Dream, and they might come true  
Things never are as bad as they seem  
So dream, dream, dream  
  
Dream, when the day is through  
Dream, and they might come true  
Things never are as bad as they seem  
So dream, dream, dream, dream  
So dream, dream, dream

"
Ella Fitzgerald,Dream A Little Dream Of Me,/e/ella+fitzgerald/dream+a+little+dream+of+me_20188370.html,"Stars shining bright above you  
Night breezes seem to whisper ""I love you""  
Birds singing in the sycamore trees  
Dream a little dream of me  
  
Say nighty-night and kiss me  
Just hold me tight and tell me you'll miss me  
While I'm alone and blue as can be  
Dream a little dream of me  
  
Stars fading but I linger on dear  
Still craving your kiss  
I'm longing to linger till dawn dear  
Just saying this  
  
Sweet dreams till sunbeams find you  
Sweet dreams that leave all worries behind you  
But in your dreams whatever they be  
Dream a little dream of me  
  
Stars fading but I linger on dear  
Still craving your kiss  
I'm longing to linger till dawn dear  
Just saying this  
  
Sweet dreams, till sunbeams find you  
Sweet dreams that leave all worries behind you  
But in your dreams whatever they be  
Dream a little dream of me

"
Ella Fitzgerald,Dream Dancing,/e/ella+fitzgerald/dream+dancing_20820306.html,"When day is gone and night comes on  
Until the dawn what do I do?  
I clasp your hand and wander through slumber land  
Dream dancing with you  
  
We dance between a sky serene  
And fields of green sparkling with dew  
It's joy sublime whenever I spend my time  
Dream dancing with you  
  
Dream dancing  
Oh, what a lucky windfall  
Touching you, clutching you  
All the night through  
  
So say you love me, dear  
And let me make my career  
Dream dancing, dream dancing with you  
  
When day is gone and night comes on  
Until the dawn what do I do?  
I clasp your hand and wander through slumber land  
Dream dancing with you  
  
We dance between a sky serene  
And fields of green sparkling with dew  
It's joy sublime whenever I spend my time  
Dream dancing with you  
  
Dream dancing  
Oh, what a lucky windfall  
Holding you, clutching you  
All the night through  
  
So say you love me, dear  
And let me make my career  
Dream dancing, dream dancing  
With you, with you, with you

"
Ella Fitzgerald,Dreamer,/e/ella+fitzgerald/dreamer_20188593.html,"Why are my eyes always full of this vision of you  
Why do I dream silly dreams that I fear won't come true  
I long to show you the stars  
Caught in the dark of the sea  
I long to speak of my love but you don't come to me  
So I go on asking if maybe one day you'll care  
I tell my sad little dreams to the soft evening air  
I am quite hopeless it seems, two things I know how to do  
One is to dream  
Two is loving you

"
Ella Fitzgerald,East Of The Sun (West Of The Moon),/e/ella+fitzgerald/east+of+the+sun+west+of+the+moon_20810690.html,"East of the sun and west of the moon  
We'll build a dream house of love, dear  
Near to the sun in the day  
Near to the moon at night  
We'll live in a lovely way, dear  
Living our love in pale moonlight  
  
Just you and I, forever and a day  
Love will not die, we'll keep it that way  
Up among the stars we'll find  
A harmony of life to a lovely tune  
East of the sun and west of the moon, dear  
East of the sun and west of the moon  
  
Just you and I, forever and a day  
Love will not die, we'll keep it that way  
Up among the stars we'll find  
A harmony of life to a lovely tune  
East of the sun and west of the moon, dear  
East of the sun, west of the moon  
East of the sun and west of the moon

"
Ella Fitzgerald,Easy To Love,/e/ella+fitzgerald/easy+to+love_20045720.html,"I know too well that I'm just wasting precious time  
In thinking such a thing could be  
That you could ever care for me  
I'm sure you hate to hear  
  
That I adore you, dear  
But grant me  
Just the same  
I'm not entirely to blame  
  
For love  
You'd be so easy to love  
So easy to idolize  
All others above  
  
So worth the yearning for  
So swell to keep every home fire burning for  
We'd be so grand at the game  
So carefree together  
  
That it does seem a shame  
That you can't see  
Your future with me  
'Cause you'd be oh, so easy to love

"
Ella Fitzgerald,Every Time We Say Goodbye,/e/ella+fitzgerald/every+time+we+say+goodbye_20633034.html,"Everytime we say goodbye, I die a little,  
Everytime we say goodbye, I wonder why a little,  
Why the Gods above me, who must be in the know.  
Think so little of me, they allow you to go.  
When you're near, there's such an air of spring about it,  
I can hear a lark somewhere, begin to sing about it,  
There's no love song finer, but how strange the change from major to  
minor,  
Everytime we say goodbye.  
When you're near, there's such an air of spring about it,  
I can hear a lark somewhere, begin to sing about it,  
There's no love song finer, but how strange the change from major to  
minor,  
Everytime we say goodbye.

"
